Fecha,"Alfabetización, total de adultos (% personas 15 o más)","Alfabetización, total de adultos (% varones 15 o más)","Alfabetización, total de adultos (% mujeres 15 o más)","maestría, población más de 25 años, total (%)","maestría, población más de 25 años, varones (%)","maestría, población más de 25 años, mujeres (%)","doctorado, población más de 25 años, total (%)","doctorado, población más de 25 años, varones (%)","doctorado, población más de 25 años, mujeres (%)","licenciatura, población más de 25 años, total (%)","licenciatura, población más de 25 años, varones (%)","licenciatura, población más de 25 años, mujeres (%)"
2008,92.9255981445313,94.5921630859375,91.45361328125,,,,,,,,,
2009,93.4418792724609,94.9165725708008,92.1162490844727,,,,,,,,,
2010,93.0689392089844,94.3839416503906,91.8534164428711,1.31121003627777,1.55809998512268,1.08773994445801,0.142680004239082,0.191029995679855,0.0989099964499474,12.7612199783325,14.069390296936,11.5771198272705
2011,93.5199813842773,94.7827682495117,92.3382797241211,,,,,,,,,
2012,94.228401184082,95.3916320800781,93.1792373657227,,,,,,,,,
2013,93.9628524780273,95.1121063232422,92.903938293457,1.28282999992371,1.56696999073029,1.03393995761871,0.0850400030612946,0.118919998407364,0.0553499981760979,14.3226099014282,15.8696603775024,12.9674301147461
2014,94.5558776855469,95.6204681396484,93.5913391113281,1.24433994293213,1.47555994987488,1.04288005828857,0.0840200036764145,0.129690006375313,0.0442100018262863,13.9571304321289,15.2282695770264,12.8495397567749
2015,94.472282409668,95.5493316650391,93.4854965209961,2.08773994445801,2.4452600479126,1.76868999004364,0.224769994616508,0.289539992809296,0.166989997029305,14.7796497344971,16.0893001556396,13.6109304428101
2016,94.859619140625,95.8448181152344,93.9685211181641,1.3954199552536,1.55095994472504,1.25950002670288,0.0762600004673004,0.101329997181892,0.0543499998748302,14.7103900909424,16.0862808227539,13.5079803466797
2017,94.9727783203125,95.8723678588867,94.1657562255859,1.44281995296478,1.60555994510651,1.30201005935669,0.0768100023269653,0.102009996771812,0.0550099983811378,15.3742599487305,16.9662208557129,13.9968204498291
2018,95.3799133300781,96.2329025268555,94.6080474853516,1.51269996166229,1.67630004882813,1.36927998065948,0.0829700008034706,0.111489996314049,0.0579699985682964,16.0160598754883,17.329870223999,14.8643703460693
